loss,accuracy,0 true,1 true,conv_layers,conv_nodes,dense_layers,dense_nodes,optimizer,loss_function,epoch,batch_size
0.448939,0.7832000255584717,1911,2005,1,10,1,128,adam,binary_crossentropy,10,128
0.442047,0.7922000288963318,1936,2025,1,10,1,128,adam,binary_crossentropy,10,128
0.071971,0.79339998960495,1939,2028,1,10,1,128,adam,huber_loss,10,128
0.0709,0.800599992275238,1967,2036,1,10,1,128,adam,huber_loss,10,128
0.439955,0.7907999753952026,1886,2068,1,10,1,128,Nadam,binary_crossentropy,10,128
0.435985,0.7946000099182129,1861,2112,1,10,1,128,Nadam,binary_crossentropy,10,128
0.072061,0.7929999828338623,2046,1919,1,10,1,128,Nadam,huber_loss,10,128
0.072145,0.7914000153541565,1906,2051,1,10,1,128,Nadam,huber_loss,10,128
0.448457,0.7919999957084656,1926,2034,1,10,1,128,adam,binary_crossentropy,10,64
0.440178,0.798799991607666,1889,2105,1,10,1,128,adam,binary_crossentropy,10,64
0.071802,0.795199990272522,1926,2050,1,10,1,128,adam,huber_loss,10,64
0.071954,0.7942000031471252,1885,2086,1,10,1,128,adam,huber_loss,10,64
0.439377,0.7975999712944031,1915,2073,1,10,1,128,Nadam,binary_crossentropy,10,64
0.436982,0.79339998960495,1956,2011,1,10,1,128,Nadam,binary_crossentropy,10,64
0.074881,0.7829999923706055,1928,1987,1,10,1,128,Nadam,huber_loss,10,64
0.068264,0.8130000233650208,2000,2065,1,10,1,128,Nadam,huber_loss,10,64
0.469375,0.769599974155426,2031,1817,1,10,1,32,adam,binary_crossentropy,10,128
0.475154,0.7662000060081482,1906,1925,1,10,1,32,adam,binary_crossentropy,10,128
0.076866,0.7698000073432922,1828,2021,1,10,1,32,adam,huber_loss,10,128
0.079047,0.7680000066757202,1893,1947,1,10,1,32,adam,huber_loss,10,128
0.456801,0.7757999897003174,1854,2025,1,10,1,32,Nadam,binary_crossentropy,10,128
0.479368,0.7626000046730042,1892,1921,1,10,1,32,Nadam,binary_crossentropy,10,128
0.075228,0.7793999910354614,1891,2006,1,10,1,32,Nadam,huber_loss,10,128
0.075517,0.7767999768257141,1919,1965,1,10,1,32,Nadam,huber_loss,10,128
0.466681,0.7793999910354614,1974,1923,1,10,1,32,adam,binary_crossentropy,10,64
0.457745,0.7724000215530396,1894,1968,1,10,1,32,adam,binary_crossentropy,10,64
0.078122,0.7717999815940857,2017,1842,1,10,1,32,adam,huber_loss,10,64
0.075159,0.7842000126838684,1893,2028,1,10,1,32,adam,huber_loss,10,64
0.462658,0.772599995136261,1836,2027,1,10,1,32,Nadam,binary_crossentropy,10,64
0.456082,0.7757999897003174,1904,1975,1,10,1,32,Nadam,binary_crossentropy,10,64
0.454364,0.7784000039100647,1889,2003,1,10,1,32,Nadam,binary_crossentropy,10,64
0.075945,0.7796000242233276,1907,1991,1,10,1,32,Nadam,huber_loss,10,64
0.075069,0.7814000248908997,1932,1975,1,10,1,32,Nadam,huber_loss,10,64
0.075007,0.7820000052452087,1889,2021,1,10,1,32,Nadam,huber_loss,10,64
0.46154,0.7710000276565552,1828,2027,1,10,1,64,adam,binary_crossentropy,10,128
0.452036,0.7807999849319458,1988,1916,1,10,1,64,adam,binary_crossentropy,10,128
0.073631,0.7843999862670898,1864,2058,1,10,1,64,adam,huber_loss,10,128
0.074012,0.7857999801635742,1869,2060,1,10,1,64,adam,huber_loss,10,128
0.450609,0.7820000052452087,1905,2005,1,10,1,64,Nadam,binary_crossentropy,10,128
0.463127,0.7785999774932861,1949,1944,1,10,1,64,Nadam,binary_crossentropy,10,128
0.074076,0.7874000072479248,1961,1976,1,10,1,64,Nadam,huber_loss,10,128
