conv_layers,conv_layer_size,dense_layers,dense_layer_size,batch_size,epochs,optimizer,loss_function,accuracy,loss
1,10,1,10,128,1,adam,binary_crossentropy,0.7488,0.5179022840499878
1,10,1,10,128,2,adam,binary_crossentropy,0.743,0.5250032661437988
1,10,1,10,128,3,adam,binary_crossentropy,0.7418,0.511401706981659
1,10,1,10,128,4,adam,binary_crossentropy,0.7602,0.533467497253418
1,10,1,10,128,5,adam,binary_crossentropy,0.7338,0.522570993232727
1,10,1,10,32,1,adam,binary_crossentropy,0.7346,0.5294296781539917
1,10,1,10,32,2,adam,binary_crossentropy,0.7438,0.5093982660293579
1,10,1,10,32,3,adam,binary_crossentropy,0.7618,0.4899127498626709
1,10,1,10,32,4,adam,binary_crossentropy,0.7514,0.5248327466964722
1,10,1,10,32,5,adam,binary_crossentropy,0.7776,0.4676846263885498
1,10,1,10,64,1,adam,binary_crossentropy,0.7328,0.5295217054367065
1,10,1,10,64,2,adam,binary_crossentropy,0.7364,0.5187768201828002
1,10,1,10,64,3,adam,binary_crossentropy,0.7602,0.49211509313583374
1,10,1,10,64,4,adam,binary_crossentropy,0.7512,0.5058167613983154
1,10,1,10,64,5,adam,binary_crossentropy,0.7548,0.5092418403625488
1,10,1,50,128,1,adam,binary_crossentropy,0.7332,0.5163295644760132
1,10,1,50,128,2,adam,binary_crossentropy,0.765,0.48872655725479125
1,10,1,50,128,3,adam,binary_crossentropy,0.7408,0.5066198559761047
1,10,1,50,128,4,adam,binary_crossentropy,0.7754,0.47592418384552004
1,10,1,50,128,5,adam,binary_crossentropy,0.7348,0.516316443157196
1,10,1,50,32,1,adam,binary_crossentropy,0.743,0.5140608938217163
1,10,1,50,32,2,adam,binary_crossentropy,0.7642,0.4931461538314819
1,10,1,50,32,3,adam,binary_crossentropy,0.7686,0.4815374334335327
1,10,1,50,32,4,adam,binary_crossentropy,0.774,0.47003230743408203
1,10,1,50,32,5,adam,binary_crossentropy,0.7694,0.47014778079986574
1,10,1,50,64,1,adam,binary_crossentropy,0.7526,0.503838207244873
1,10,1,50,64,2,adam,binary_crossentropy,0.749,0.5097889875411987
1,10,1,50,64,3,adam,binary_crossentropy,0.7598,0.49118202590942384
1,10,1,50,64,4,adam,binary_crossentropy,0.7722,0.4772527631759644
1,10,1,50,64,5,adam,binary_crossentropy,0.7828,0.46395505628585815
1,10,1,5,128,1,adam,binary_crossentropy,0.7248,0.5460081112861633
1,10,1,5,128,2,adam,binary_crossentropy,0.7386,0.5237985488891601
1,10,1,5,128,3,adam,binary_crossentropy,0.746,0.5105841999053955
1,10,1,5,128,4,adam,binary_crossentropy,0.7242,0.5443252877235413
1,10,1,5,128,5,adam,binary_crossentropy,0.7586,0.49909734382629395
1,10,1,5,32,1,adam,binary_crossentropy,0.753,0.5152297850608826
1,10,1,5,32,2,adam,binary_crossentropy,0.7398,0.5191356449127197
1,10,1,5,32,3,adam,binary_crossentropy,0.7556,0.5104088352203369
1,10,1,5,32,4,adam,binary_crossentropy,0.754,0.5225231026649475
1,10,1,5,32,5,adam,binary_crossentropy,0.7434,0.5189438276290893
1,10,1,5,64,1,adam,binary_crossentropy,0.7388,0.5223899307250977
1,10,1,5,64,2,adam,binary_crossentropy,0.7536,0.5040549589157104
1,10,1,5,64,3,adam,binary_crossentropy,0.7566,0.5093630096435547
1,10,1,5,64,4,adam,binary_crossentropy,0.7398,0.5154954320907593
1,10,1,5,64,5,adam,binary_crossentropy,0.763,0.4960551502227783
1,10,2,10,128,1,adam,binary_crossentropy,0.7268,0.5308437009811401
1,10,2,10,128,2,adam,binary_crossentropy,0.7516,0.5047805658340454
1,10,2,10,128,3,adam,binary_crossentropy,0.7392,0.5193001258850097
1,10,2,10,128,4,adam,binary_crossentropy,0.752,0.49818445081710816
1,10,2,10,128,5,adam,binary_crossentropy,0.7598,0.48741436977386476
1,10,2,10,32,1,adam,binary_crossentropy,0.75,0.5176009326934814
1,10,2,10,32,2,adam,binary_crossentropy,0.7292,0.5298716697692871
1,10,2,10,32,3,adam,binary_crossentropy,0.7588,0.4889919590950012
1,10,2,10,32,4,adam,binary_crossentropy,0.768,0.4752478630065918
1,10,2,10,32,5,adam,binary_crossentropy,0.7588,0.49019049720764163
1,10,2,10,64,1,adam,binary_crossentropy,0.7328,0.527272631072998
1,10,2,10,64,2,adam,binary_crossentropy,0.7544,0.4972707353591919
1,10,2,10,64,3,adam,binary_crossentropy,0.7518,0.4971546104431152
1,10,2,10,64,4,adam,binary_crossentropy,0.7626,0.4927850341796875
1,10,2,10,64,5,adam,binary_crossentropy,0.7726,0.4703786735534668
1,10,2,50,128,1,adam,binary_crossentropy,0.7276,0.5333524777412415
